Total income from operations,Employees cost,depreciat,Other expenses,"P/l before other inc. , int., excpt. items & tax",Other income,"P/l before int., excpt. items & tax",Interest,P/l before exceptional items & tax,Tax,Net profit/(loss) for the period
6.07,3.76,0.13,1.56,0.62,0.07,0.69,0,0.69,0.23,0.46
7.37,5.07,0.14,2.05,0.11,0.26,0.38,0,0.38,0.12,0.25
6.29,4.05,0.14,2.05,0.05,0.35,0.4,0,0.4,0,0.4
5.34,2.92,2.66,1.7,-1.94,0.54,-1.4,0,-1.4,-0.56,-0.85
6.55,3.73,0.75,1.7,0.37,0.31,0.68,0,0.68,0,0.68
7.16,3.92,0.74,1.62,0.87,0.39,1.26,0,1.26,-1.24,2.49
8.18,4.14,0.75,1.64,0.31,0.47,0.78,0,0.78,-1.11,1.89
7.56,4.34,0.86,2.15,0.16,0.28,0.44,0.03,0.41,-0.11,0.52
9.61,5.02,0.82,1.98,1.04,0.03,1.08,0,1.08,0.56,0.51
9.24,5.3,0.23,1.99,1.17,0.4,1.57,0,1.57,0.52,1.05
10.09,5.31,0.23,2.09,1.21,0.08,1.29,0.02,1.27,0.42,2.38
9.72,5,-0.32,4.02,0.35,0.35,0.71,0.12,0.58,1.2,0.3
10.24,5.43,0.25,2.51,1.22,0.34,1.56,0.04,1.51,0.06,1.46
9.47,5.5,0.26,1.9,1.21,0.13,1.34,0.04,1.29,0.99,0.31
20.09,5.48,0.25,13.48,0.89,0.08,0.97,0.09,0.88,0.21,0.67
23.25,5.41,0.11,16.84,0.89,0.08,0.98,0.13,0.85,-0.17,1.02
8.39,5.57,0.08,2.11,1.27,0.07,1.34,0.08,1.26,0.34,0.92
10.13,6.24,0.08,1.9,1.39,0.08,1.47,0.1,1.37,0.29,1.08
11.17,5.88,0.08,2.74,1.3,0.14,1.44,0.07,1.36,0.38,0.99
6.97,5.91,0.06,1.63,-1.16,0.13,-1.03,0.17,-1.2,-0.17,-1.02
9.63,5.78,0.33,1.11,1.38,0.18,1.56,0.3,1.26,0.36,0.9
11.87,7.12,0.57,1.16,2.44,0.17,2.61,0.45,2.15,0.12,2.03
8.49,6.11,0.5,1.05,0.24,0.18,0.42,0.36,0.06,0.16,-0.1
8.38,6.99,0.5,0.6,-0.38,0.16,-0.21,0.2,-0.42,0.08,-0.5
9.06,6.48,0.5,0.51,1.17,0.16,1.33,0.25,1.08,0.2,0.88
7.37,6.59,0.43,0.51,-0.36,0.52,0.16,0.32,-0.16,-0.05,-0.1
11.23,7.1,0.51,1.21,1.76,0.28,2.04,0.22,1.82,0.09,1.73
8.86,6.68,0.44,1.14,0.29,0.32,0.61,0.13,0.48,0.75,-0.26
11.27,7.94,0.4,1.56,1.38,0.23,1.61,0.16,1.45,0.15,1.3
10.75,8.1,0.4,1.31,0.94,0.24,1.18,0.15,1.04,0.14,0.9
12.67,8.36,0.4,2.2,1.72,0.22,1.94,0.15,1.79,0.32,1.47
11.78,9.37,0.43,2.69,-0.71,0.29,-0.42,0.1,-0.52,1.09,-1.61
13.7,9.25,0.37,2.08,2,1.36,3.36,0.15,3.22,0.3,2.92
14.59,10.08,0.2,2.97,1.34,-0.24,1.1,0.23,0.87,0.37,0.5
15.21,10.47,0.46,4.34,-0.07,0.67,0.6,0.38,0.23,0.4,-0.17
19.56,11.8,0.63,6.58,0.55,0.56,1.11,0.47,0.65,0.34,0.31
18.48,13.29,0.6,3.29,1.29,0.79,2.08,0.52,1.56,0.29,1.28
21.1,13.4,0.61,4.73,2.35,0.81,3.16,0.6,2.56,0.26,2.3
19.86,14.29,0.61,4.8,0.16,1.02,1.18,0.66,0.51,0.41,0.11
16.89,11.23,0.61,2.85,2.19,1.21,3.4,3.04,0.36,0.57,-0.2
17.88,11.58,0.46,2.8,3.04,1.01,4.05,1.2,2.85,0.8,2.05
17.32,12.05,0.47,1.77,2.18,1.24,3.42,1.44,1.98,0.53,1.44
2.65,1.58,0.13,0.58,0.37,0.19,0.56,0.03,0.53,0.16,0.37
2.02,1.5,0.14,0.31,0.07,-0.04,0.03,0.02,0.01,0,0.01
2.22,1.82,0.07,0.29,0.04,-0.01,0.04,0.01,0.02,-0.12,0.14
2.33,1.76,0.1,0.43,0.04,0.09,0.12,0.02,0.11,-0.01,0.12
2.87,1.77,0.11,0.62,0.37,0.08,0.45,0.01,0.44,0.04,0.39
2.94,1.76,0.1,0.53,0.54,0.1,0.64,0.02,0.62,0.19,0.43
2.4,1.73,0.23,0.33,0.11,-0.04,0.08,0.01,0.07,0.07,0
2.55,1.74,0.06,0.58,0.17,0.12,0.29,0.01,0.29,0.09,0.19
2.38,1.73,0.06,0.49,0.1,0.14,0.24,0,0.24,0.08,0.16
2.54,1.74,0.06,0.5,0.24,0,0.24,0,0.24,0.07,0.17
2.56,1.67,0.06,0.38,0.45,-0.01,0.44,0.03,0.41,0.12,0.29
2.77,1.98,0.07,0.51,0.21,0.03,0.24,0,0.24,0.07,0.16
2.65,1.9,0.07,0.54,0.13,0.03,0.16,0,0.16,0.05,0.11
3.18,2.29,0.08,0.56,0.25,0.05,0.31,0,0.31,0.09,0.22
3.02,2.34,0.06,0.79,-0.17,-0.02,-0.18,0,-0.19,-0.05,-0.13
3.43,2.46,0.06,0.52,0.39,0.04,0.43,0,0.43,0.14,0.28
3.38,2.53,0.07,0.37,0.42,0.14,0.55,0,0.55,0.26,0.29
3.55,2.88,0.07,0.54,0.06,0.05,0.11,0,0.11,-0.01,0.12
3.89,2.97,0.08,0.52,0.33,0.14,0.47,0,0.46,0.05,0.42
5.38,3.11,0.08,0.46,1.73,0.07,1.8,0,1.8,0.48,1.32
5.28,3.16,0.08,0.51,1.53,0.07,1.61,0,1.61,0.44,1.17
5,3.32,0.09,0.72,0.86,0.02,0.88,0,0.88,0.24,0.64
4.69,3.42,0.09,0.71,0.46,0.06,0.52,0,0.52,0.2,0.32
5.04,3.38,0.12,0.67,0.87,0.11,0.98,0,0.98,0.27,0.71
5.44,3.51,0.13,0.8,1,0.21,1.21,0,1.21,0.34,0.87
6.03,3.95,0.14,0.72,1.21,0.07,1.29,0,1.29,0.36,0.93
6.5,4.03,0.47,0.17,1.83,0.21,2.04,0.34,1.69,0.47,1.22
7.47,4.2,0.27,0.53,2.47,0.07,2.54,0.07,2.47,0.69,1.78
7.55,4.38,0.23,0.7,2.24,0.06,2.3,0.07,2.23,0.62,1.61
7.28,4.55,0.24,0.43,2.06,0.16,2.22,0.07,2.15,0.42,1.72
7.46,4.76,0.24,0.55,1.9,0.36,2.26,0.07,2.19,0.45,1.74
7.57,4.84,0.25,0.61,1.87,0.25,2.12,0.06,2.06,0.52,1.54
9.12,5.26,0.26,0.88,2.72,0.33,3.04,0.06,2.98,0.74,2.24
9.68,5.67,0.29,0.96,2.76,0.23,2.99,0.12,2.86,0.72,2.14
11.93,6.46,0.35,1.02,4.09,0.08,4.17,0.15,4.02,1.03,2.99
12.2,7.22,0.41,0.96,3.61,0.15,3.76,0.13,3.63,0.88,2.75
13.66,8.08,0.39,0.9,4.29,0.15,4.44,0.13,4.31,1.17,3.14
14.5,8.9,0.43,0.93,4.24,0.13,4.37,0.15,4.23,1.06,3.17
14.53,9.28,0.43,1.08,3.74,-0.06,3.68,0.09,3.58,0.95,2.63
